State,City,Count,Lat,Lng
Pennsylvania,Berwyn,3,40.5427865,-77.593874
New Jersey,Fairfield,3,40.5508705,-74.2912975
New Jersey,South Plainfield,3,40.572065,-74.413545
Utah,Pleasant Grove,3,40.5741275,-111.82654674999999
New Jersey,Bedminster,3,40.659151,-74.676788
New Jersey,Hampton,3,40.6667,-74.964692
New Jersey,Berkeley Heights,3,40.675451,-74.422196
New Jersey,New Providence,3,40.696615,-74.40329
New York,Long Island City,3,40.7438308404255,-73.94785497872348
New Jersey,Cedar Knolls,3,40.820799,-74.456198
New Jersey,Clifton,3,40.882319,-74.17829971428571
New Jersey,Hackensack,3,40.918726,-74.0644645
New York,New City,3,41.1636835,-73.97698249999999
Ohio,Twinsburg,3,41.313304,-81.440435
Connecticut,Guilford,3,41.338847,-72.690089
Ohio,Beachwood,3,41.473248,-81.505389
Iowa,Coralville,3,41.699942,-91.6332
New York,Ithaca,3,42.4322626,-76.47395060000001
Massachusetts,Maynard,3,42.446396,-71.459405
Massachusetts,Wilmington,3,42.56566,-71.1651665
Massachusetts,Lawrence,3,42.686193,-71.09135774999999
Michigan,Holland,3,42.8292565,-86.18662800000001
California,Moffett Field,3,44.030119,-76.117353
Minnesota,Minnesota City,3,44.081907,-91.73508
Vermont,Williston,3,44.43755,-73.06818
North Dakota,Michigan,3,48.020355,-98.118574
Florida,Pompano Beach,3,26.241097892857145,-80.22387175000003
Florida,Saint Petersburg,3,27.801401608108097,-82.69287544594599
Florida,Lakeland,3,28.072648833333336,-81.91822166666667
Florida,Maitland,3,28.602178666666664,-81.33534433333334
Texas,Midland,3,31.938586083333334,-102.06556316666668
Texas,Mckinney,3,32.591225333333334,-95.24253399999999
Texas,Lewisville,3,33.057450857142875,-97.016605
California,Fountain Valley,3,33.675442000000004,-117.8602855
California,Fullerton,3,33.79766566666667,-117.87357483333335
California,Studio City,3,33.962838000000005,-118.3457065
California,Agoura Hills,3,34.017647000000004,-118.59835666666667
Georgia,Suwanee,3,34.05015266666667,-84.07635066666666
California,Van Nuys,3,34.09903440000003,-118.41654581999987
California,Valencia,3,34.23069666666667,-118.49575566666665
California,North Hollywood,3,34.27230146666667,-118.54405820000001
North Carolina,Winston Salem,3,36.08703924038453,-80.24199125000003
California,Fresno,3,36.752372633663335,-119.71948912871268
Virginia,Norfolk,3,36.86045449473683,-76.27736449473684
California,Danville,3,37.848204833333334,-121.29165533333332
California,Sonoma,3,38.290011500000006,-122.482428
California,Stanford,3,38.68679266666666,-122.42117866666666
Pennsylvania,Doylestown,3,40.212813749999995,-75.5113115
Pennsylvania,New Hope,3,40.354493500000004,-75.0009145
New Jersey,New Brunswick,3,40.483047908163165,-74.4490678979591
Pennsylvania,Newtown,3,40.501841000000006,-76.82240285714286
New Jersey,Edison,3,40.51654728571429,-74.38772657142856
Pennsylvania,Allentown,3,40.60743660606069,-75.49334118181808
Utah,Park City,3,40.66898200000001,-111.51432374999999
New Jersey,Roseland,3,40.819188499999996,-74.31784350000001
New Jersey,Fort Lee,3,40.856505999999996,-73.96805699999999
Indiana,Fort Wayne,3,41.11194115238093,-85.11763773333331
Connecticut,Fairfield,3,41.184809800000004,-73.25557819999999
Connecticut,Cheshire,3,41.47587766666666,-72.91778633333332
Illinois,Lincolnshire,3,41.652259571428566,-88.05778171428571
Connecticut,Farmington,3,41.760521999999995,-72.76085375000001
Connecticut,Hartford,3,41.77299233333337,-72.69406217777781
Pennsylvania,Erie,3,42.133501475247435,-80.07916804950496
Massachusetts,Amherst,3,42.380508999999996,-72.50062066666666
Massachusetts,Sudbury,3,42.396345499999995,-71.410338
Massachusetts,Belmont,3,42.429595500000005,-71.331902
Massachusetts,North Andover,3,42.55258166666667,-71.18584233333333
Michigan,Lansing,3,42.69048203125001,-84.53295146875
Oregon,Eugene,3,44.04059876923077,-123.09501976923073
Oregon,Lake Oswego,3,45.40860166666667,-122.69930466666666
Minnesota,Saint Cloud,3,45.414484538461544,-94.42297553846153
Oregon,Hillsboro,3,45.489456999999994,-122.96921400000001
North Dakota,Fargo,3,46.89952126666667,-97.0653882666667
Washington,Tacoma,3,47.213137774509754,-122.40011692156851
Washington,Sammamish,3,47.62506666666667,-122.02286533333334
Washington,Bellingham,3,48.775063599999996,-122.26814359999999
Florida,Key Biscayne,2,25.693713,-80.162825
Florida,Miami Lakes,2,25.908706,-80.308662
Florida,Dania,2,26.062416,-80.159667
Florida,Sunrise,2,26.151416,-80.226211
Florida,Deerfield Beach,2,26.26631425,-80.197907
Florida,Sanibel,2,26.458308,-82.100065
Florida,Palm Beach Gardens,2,26.600995,-80.038113
Florida,Oldsmar,2,28.050324,-82.677379
Florida,Tarpon Springs,2,28.1477155,-82.7194245
Texas,Friendswood,2,29.4227875,-94.9961855
Louisiana,Georgia,2,29.840205,-90.988431
Louisiana,Maryland,2,30.4932935,-91.96485849999999
Texas,Seminole,2,32.671912,-102.805355
Arizona,Arizona City,2,32.7505295,-111.6371435
Texas,Southlake,2,32.954198,-97.150475
California,Bonsall,2,33.27616,-117.1941
California,Tustin,2,33.672309,-117.77240520000001
California,Toluca Lake,2,33.786594,-118.298662
California,Hermosa Beach,2,33.86224,-118.39952
California,Altadena,2,33.9909345,-118.21794449999999
Georgia,Kennesaw,2,34.014486,-84.62590900000001
California,Chatsworth,2,34.02704175,-118.45955999999998
California,Camarillo,2,34.154889,-119.06284133333334
California,Gardena,2,35.02527825,-119.440796
New Mexico,Santa Fe,2,35.62408075,-105.99297741666668
North Carolina,Apex,2,35.7031252,-78.8625544
North Carolina,Carrboro,2,35.905477,-79.090077
California,Belvedere Tiburon,2,35.95667275,-120.316271
Oklahoma,Stillwater,2,36.1102195,-97.02207250000002
Colorado,Durango,2,37.30954525,-107.888648
California,Los Altos Hills,2,37.31969575,-122.020386
California,Atherton,2,37.450627,-122.199439
California,Union City,2,37.599463,-122.018884
Virginia,Sandston,2,37.64874425,-77.14910800000001
